Index,Living Space (sq ft),Beds,Baths,Zip,Year,List Price ($),Within Budget
1,2222,3,3.5,32312,1981,250000,No
2,1628,3,2,32308,2009,185000,Yes
3,3824,5,4,32312,1954,399000,No
4,1137,3,2,32309,1993,150000,Yes
5,3560,6,4,32309,1973,315000,No
6,2893,4,3,32312,1994,699000,No
7,3631,4,3,32309,1996,649000,No
8,2483,4,3,32312,2016,399000,No
9,2400,4,4,32312,2002,613000,No
10,1997,3,3,32311,2006,295000,No
11,2097,4,3,32311,2016,290000,No
12,3200,5,4,32312,1964,465000,No
13,4892,5,6,32311,2005,799900,No
14,1128,2,1,32303,1955,89000,Yes
15,1381,3,2,32301,2006,143000,Yes
16,4242,4,5,32303,2007,569000,No
17,2533,3,2,32310,1991,365000,No
18,1158,3,2,32303,1993,155000,Yes
19,2497,4,4,32309,1990,289000,No
20,4010,5,3,32309,2002,549900,No
